Year,total_precip_mm,total_streamflow_mm,ET_mm,winter_label.y,max_snow_depth_mm,snowpack_duration_days,mean_annual_temp,mean_annual_min_temp,mean_annual_max_temp,max_temp,min_temp,growing_degree_days,frost_free_start_julian,frost_free_end_julian,frost_free_season_days
1958,1161,567.36,593.64,1957-1958,980,112,4.87,0.07,9.66,29,-24,1716,136,277,142
1959,1479.1,918.23,560.87,1958-1959,1006,132,5.69,0.87,10.51,32,-28,2096,139,258,120
1960,1325.3,752.05,573.25,1960-1960,828,105,5.73,1.03,10.43,31,-25,1949.5,112,275,164
1961,978.9,436.25,542.65,1961-1961,521,111,6.02,1.29,10.76,31,-27,2139,152,277,126
1962,1230.6,699.3,531.3,1962-1962,1021,95,4.74,-0.38,9.87,34,-29,1833,130,262,133
1963,1151.7,662.57,489.13,1963-1963,1219,105,5.51,0.24,10.78,33,-29,2069,145,256,112
1964,1175.2,630.42,544.78,1964-1964,554,105,5.46,0.33,10.58,31,-22,1853,143,274,132
1965,1120.6,546.7,573.9,1964-1965,503,119,4.55,-0.51,9.61,31,-31,1800.5,135,269,135
1966,1223.2,756.72,466.48,1965-1966,655,124,5.74,0.72,10.75,33,-30,1938.5,132,284,153
1967,1296.8,780.76,516.04,1967-1967,952,97,5.2,0.25,10.15,30,-29,1944,135,278,144
1968,1285.2,762.84,522.36,1967-1968,792,126,5.53,0.69,10.37,32,-30,2094,130,279,150
1969,1403.5,998.68,404.82,1968-1969,1384,132,6.14,1.58,10.7,32,-22,2079,148,287,140
1970,1201.5,697.52,503.98,1969-1970,607,125,5.43,0.39,10.47,33,-28,2249.5,128,288,161
1971,1173.4,676.19,497.21,1970-1971,1206,138,5.98,1.56,10.39,29,-27,2167.5,109,310,202
1972,1424,885.91,538.09,1971-1972,876,154,4.71,0.86,8.55,28,-27,1743,120,286,167
1973,1792.8,1396.41,396.39,1972-1973,683,127,6.46,2.75,10.18,28,-24,2018,106,291,186
1974,1408.9,890.42,518.48,1974-1974,429,97,5.55,1.51,9.6,28,-23,1872.5,123,266,144
1975,1448.6,939.52,509.08,1974-1975,782,133,5.88,1.48,10.28,32,-24,2024.5,121,275,155
1976,1516,1022.06,493.94,1975-1976,709,98,4.85,-0.06,9.77,32,-31,1948,142,272,131
1977,1388.2,843.73,544.47,1977-1977,838,77,5.57,0.74,10.39,33,-26,1990.5,130,280,151
1978,1085.7,613.8,471.91,1977-1978,726,140,5.2,0.39,10.02,31,-23,1925,125,287,163
1979,1432.7,1036.33,396.37,1978-1979,1118,140,6.14,1.75,10.53,33,-27,2099.5,127,262,136
1980,1101.1,548.27,552.83,1980-1980,587,48,4.6,-0.27,9.46,29,-33,1795.5,114,271,158
1981,1664.9,1093.91,570.99,1980-1981,577,71,5.53,0.78,10.27,31,-33,1854,139,272,134
1982,1114.4,756.02,358.38,1981-1982,1044,140,4.99,0.02,9.96,31,-26,1893.5,121,282,162
1983,1451.8,889.34,562.46,1983-1983,241,63,6.52,1.73,11.31,33,-27,2100,139,282,144
1984,1403.5,970.64,432.86,1984-1984,551,98,6.21,1.1,11.32,31,-25,2038.5,139,259,121
1985,1137.2,627.82,509.38,1984-1985,450,125,5.5,0.74,10.26,31,-24,1999,130,284,155
1986,1372.3,960.93,411.37,1985-1986,734,119,5.54,0.8,10.27,30,-27,1860.5,125,278,154
1987,1234.6,797.08,437.52,1986-1987,853,112,6.01,1.33,10.69,31,-26,1984,137,284,148
1988,1010.9,502.11,508.79,1987-1988,577,104,5.9,1.27,10.53,32,-28,1990,115,287,173
1989,1419.1,909.46,509.64,1988-1989,572,119,5.15,0.39,9.9,29,-24,1943.5,120,282,163
1990,1729.4,1301.87,427.53,1989-1990,798,106,7.22,2.47,11.96,31,-20,2124.5,110,291,182
1991,1319.4,743.36,576.04,1991-1991,343,84,6.66,1.82,11.5,32,-25,2178,111,271,161
1992,1280.2,869.8,410.4,1991-1992,391,139,4.8,0.1,9.49,33,-26,1639.5,147,267,121
1993,1287.7,800.81,486.89,1993-1993,899,63,5.41,0.33,10.48,32,-27,1919.5,119,272,154
1994,1195.5,714.3,481.2,1994-1994,864,112,5.49,0.55,10.44,33,-30,1997,135,284,150
1995,1374.3,797.04,577.26,1995-1995,490,48,5.61,0.73,10.49,34,-26,1962.5,129,266,138
1996,1723.5,1414.36,309.14,1995-1996,678,119,5.61,0.88,10.33,31,-27,1930,136,276,141
1997,1241.4,713.1,528.3,1997-1997,886,77,5.35,0.5,10.19,31,-27,1909.5,128,290,163
1998,1401.1,981.41,419.69,1998-1998,615,86,7.27,2.81,11.72,31,-25,2142.5,119,278,160
1999,1373,910.08,462.92,1998-1999,569,105,7.17,2.3,12.04,31,-27,2220.5,116,278,163
2000,1411.1,931.88,479.22,2000-2000,643,92,5.78,1.01,10.56,31,-26,1919.5,123,271,149
2001,1006.9,504.42,502.48,2001-2001,818,91,7.08,2.17,12,34,-22,2239.5,120,280,161
2002,1311.2,732.78,578.42,2001-2002,516,77,6.47,1.82,11.11,33,-20,2047,141,281,141
2003,1606.1,1142.72,463.38,2003-2003,714,92,5.7,0.93,10.48,34,-27,2049.5,138,275,138
2004,1295.6,829.92,465.68,2004-2004,404,77,5.53,0.86,10.2,30,-29,1961,130,278,149
2005,1637.6,1121.58,516.02,2005-2005,701,92,6.25,1.74,10.77,32,-24,2153.5,134,292,159
2006,1521.3,1034.4,486.9,2005-2006,290,90,7.18,2.88,11.47,32,-22,2096.5,120,286,167
2007,1451.6,809.75,641.85,2007-2007,612,83,6.21,1.51,10.92,32,-23,2210,127,301,175
2008,1689.2,1226.58,462.62,2007-2008,983,138,6.52,2,11.04,33,-21,2175.5,124,291,168
2009,1507.9,1042.12,465.78,2008-2009,719,125,6.15,1.69,10.6,31,-23,2003.5,107,284,178
2010,1413.8,1063.74,350.06,2010-2010,485,56,7.09,2.67,11.51,35,-21,2248.5,132,289,158
2011,1690.7,1339.05,351.65,2011-2011,782,83,6.67,1.61,11.72,33,-28,2268,127,278,152
2012,1526,1104.18,421.82,2012-2012,414,61,8.48,3.46,13.5,33,-22,2583.5,122,286,165
2013,1299.2,864.15,435.05,2013-2013,485,55,6.89,2.25,11.52,32,-25,2240.5,114,258,145
2014,1409.5,1011.23,398.27,2014-2014,795,83,6.81,2.23,11.4,34,-23,2380.5,115,305,191
2015,1391,776.36,614.64,2014-2015,627,126,6.64,1.3,11.97,31,-30,2306.5,116,289,174
2016,1278.6,544.04,734.56,2016-2016,218,64,7.29,2.14,12.44,30.5,-29.5,2282.25,138,288,151
2017,1696.3,953.7,742.6,2016-2017,838,125,7.17,2,12.34,34,-26.5,2349.5,130,289,160
2018,1708.9,1024.04,684.86,2017-2018,544,113,6.73,1.84,11.61,31.5,-26.5,2262.25,114,290,177
2019,1777.9,1076.41,701.49,2018-2019,828,154,5.84,0.42,11.25,29.5,-25.5,2031.25,120,276,157
2020,1363.4,815.84,547.56,2019-2020,480,91,7.22,2.43,12,32,-22.5,2209.75,135,282,148
2021,1364.6,706.57,658.03,2021-2021,500,84,7.89,2.71,13.07,32.5,-20,2460.25,117,305,189
2022,1422.5,790.99,631.51,2021-2022,545,91,7.36,1.93,12.79,34,-27,2381.5,121,292,172
