Year,start,end,frost_free
1958,136,277,142
1959,139,258,120
1960,112,275,164
1961,152,277,126
1962,130,262,133
1963,145,256,112
1964,143,274,132
1965,135,269,135
1966,132,284,153
1967,135,278,144
1968,130,279,150
1969,148,287,140
1970,128,288,161
1971,109,310,202
1972,120,286,167
1973,106,291,186
1974,123,266,144
1975,121,275,155
1976,142,272,131
1977,130,280,151
1978,125,287,163
1979,127,262,136
1980,114,271,158
1981,139,272,134
1982,121,282,162
1983,139,282,144
1984,139,259,121
1985,130,284,155
1986,125,278,154
1987,137,284,148
1988,115,287,173
1989,120,282,163
1990,110,291,182
1991,111,271,161
1992,147,267,121
1993,119,272,154
1994,135,284,150
1995,129,266,138
1996,136,276,141
1997,128,290,163
1998,119,278,160
1999,116,278,163
2000,123,271,149
2001,120,280,161
2002,141,281,141
2003,138,275,138
2004,130,278,149
2005,134,292,159
2006,120,286,167
2007,127,301,175
2008,124,291,168
2009,107,284,178
2010,132,289,158
2011,127,278,152
2012,122,286,165
2013,114,258,145
2014,115,305,191
2015,116,289,174
2016,138,288,151
2017,130,289,160
2018,114,290,177
2019,120,276,157
2020,135,282,148
2021,117,305,189
2022,121,292,172
2023,139,303,165
2024,118,300,183
